40 60
5 -35 -1
31 6 -34
-37 24 20
39 -22 1
17 -20 -14
35 -40 8
-31 -20 39
14 -10 -15
1 9 -31
27 14 8
36 35 -20
32 39 21
-2 -28 28
11 14 39
-4 -39 -36
-28 -2 5
-39 -1 19
-25 20 -31
13 -24 -18
2 7 25
40 13 39
-30 25 -22
-25 11 35
-23 3 15
23 32 28
-24 40 9
8 10 -29
28 23 25
39 23 18
-22 12 -13
-15 18 35
11 -38 -17
-5 -19 -38
13 -32 14
-16 40 -31
38 -17 20
26 -23 33
3 -23 -25
-40 11 -25
-7 -2 34
7 -20 32
1 -31 21
-23 2 -30
-16 -32 -10
-5 13 -40
19 -36 29
-34 1 -1
-14 37 -10
-28 7 22
26 -2 35
-35 2 15
-3 23 39
-25 37 -24
13 -29 -38
-22 20 15
-26 -22 -38
-23 -12 -4
-37 -11 -38
31 13 37
25 -7 23
