80 100
49 -60 -44
68 -52 -4
3 -67 18
-75 19 -74
56 61 -41
45 15 -79
15 -56 76
4 22 19
-2 -19 9
-60 80 80
47 -63 -23
79 -5 42
79 -30 59
-78 31 -73
-19 37 49
5 -35 -65
19 33 61
-17 68 -2
-6 53 -39
-65 17 70
-54 38 -53
-48 -67 -31
-61 -30 49
16 -79 25
5 -44 -27
40 -4 10
-23 11 -30
58 25 -53
16 1 -71
10 -15 74
77 -25 4
22 -10 52
-63 23 34
-25 57 -39
15 -1 78
13 -77 1
-6 26 -65
77 -75 -74
74 -19 15
23 55 80
80 74 63
-24 -38 -52
-54 -61 68
-26 -53 -9
-20 36 -43
18 27 -49
29 57 4
-19 51 14
73 69 22
68 -53 -77
76 20 4
23 -79 8
-78 -72 8
72 1 -26
64 -57 -64
-3 -49 -21
32 41 43
23 62 62
33 -58 70
-60 -32 -34
-36 41 -64
-56 24 18
33 -26 -77
-6 38 57
-64 71 51
23 -36 -47
22 -15 35
46 -36 54
29 78 78
21 47 55
55 22 59
-72 56 64
59 61 -79
17 -76 56
-13 -75 23
-60 -28 -46
34 -11 -66
69 34 63
3 -24 -62
44 4 -19
45 -26 -49
-63 -23 66
-44 63 28
55 -72 40
-26 7 58
-25 -60 -20
-40 36 -55
-13 -47 7
-7 -70 -40
22 16 4
-58 -56 4
1 -38 8
-77 56 -79
44 14 27
-26 -10 58
49 -57 64
79 -45 -50
21 -22 70
-38 -14 -69
19 58 -66
