60 80
-43 1 17
57 -38 -31
-22 25 -10
57 29 -13
-58 42 48
-6 14 -48
-36 24 37
10 -45 1
8 -25 22
2 41 -40
-18 -9 46
-20 -49 4
34 -57 57
13 7 7
8 1 -22
-41 11 40
9 -28 8
-57 -12 8
-51 -15 54
8 35 2
41 38 20
10 25 -34
18 -39 58
-39 53 21
-21 -57 -42
48 42 49
-7 -54 -40
-56 -44 -50
42 -53 -29
-27 16 58
-14 -28 -53
-41 4 -27
-19 -51 -12
9 -22 -25
1 -34 -55
53 19 -23
-54 6 -38
-13 18 59
-30 21 -53
53 -51 -51
52 32 16
42 -20 -25
-25 -37 21
-54 60 27
-57 -28 7
-26 8 59
-46 11 -23
44 -29 -26
-25 20 -25
16 -58 15
-5 3 44
35 32 -44
-7 -36 -49
-16 33 -33
-40 -55 37
25 -43 8
34 55 -43
14 17 -49
17 41 -38
58 3 57
-36 -51 -49
-21 6 48
-40 -26 17
-57 -13 56
-57 42 48
35 41 -46
58 -46 20
-22 -44 -7
-16 -31 43
56 33 -25
48 24 -10
50 25 -3
34 -7 -28
-47 18 20
-27 -52 -50
-42 43 58
41 25 -12
40 -30 50
-42 31 12
-44 -7 27
